ID,SMILES,Kd,IC50,erk_IC50,Affinity,CNN_Pose_Score,CNN_Affinity
US_33,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CN=CC2=CC=CC(=C12)Cl)F,71.7,21.1,2052.1,-7.41,0.6302,8.969
US_35,OCC(CO)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,1381.8,475,11332.1,-10.02,0.6511,8.581
US_37,OC1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,494.5,404.8,,-9.43,0.6212,8.365
US_38,Oc1cc(-c2ncc3c(nc(OCCCC(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,750.3,174.2,,-11.25,0.5571,8.537
US_39,COCCN1CCC(CC1)Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2ccccc12,67770,10000,,-7.85,0.5317,8.325
US_40,Oc1cc(-c2ncc3c(nc(OC[C@@H]4CC5CCN4C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1.7,4,4241.8,-10.82,0.6609,8.806
US_41,COCCCN1CCC(CC1)Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,180.8,76.7,6647.2,-8.45,0.7068,8.87
US_42,CO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)N(C)C1,5.6,3.1,637.6,-10.44,0.7581,8.7
US_43,CCO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)N(C)C1,188,72.2,6204.1,-9.65,0.7948,8.962
US_44,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2ccc(F)c(Cl)c12,31.7,33.7,2290.1,-11,0.8054,9.256
US_46,Oc1cc(-c2ncc3c(nc(OCC4(CCCC4)C(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,797.8,720.8,,-4.46,0.4853,6.587
US_47,CCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,509.9,264.6,4445.6,-9.76,0.5037,8.265
US_48,Oc1cc(-c2ncc3c(nc(OCC(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,930.8,433.9,4875.6,-10.46,0.4723,8.257
US_49,O[C@@H]1CC2CN(C[C@H]1N2)c1nc(OCC23CCCN2CCC3)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,0.4,5.9,2123.1,-9.26,0.7505,9.132
US_50,Oc1cc(-c2ncc3c(nc(OC[C@@H]4CCCN4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,2.1,2.5,15404.5,-10.73,0.6783,8.636
US_51,Oc1cc(-c2ncc3c(nc(OCC4(CC4)C(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,611.1,291.7,12066.6,-10.85,0.5432,8.594
US_52,Oc1cc(-c2ncc3c(nc(OCC(F)(F)C(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,507.4,318.3,8380,-10.48,0.4591,8.349
US_53,Fc1c(ncc2c(nc(OCC3COC3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,4369.4,1881.4,,-10.86,0.6939,8.703
US_54,Fc1c(ncc2c(nc(OCC34CCCN3CCCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,117.5,68.7,16666.7,-7.74,0.6083,8.789
US_57,OCC(O)CCOc1nc(C2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,1000000,7285.9,,-9.9,0.5862,8.651
US_58,OCC[C@@H](CO)Oc1nc(C2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,4733.6,2326.7,,-8.91,0.6278,8.662
US_59,OCC(COc1nc(C2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)c1cccnc1,1118.3,946.3,,-10.25,0.6342,8.98
US_60,[O-][N+]12CCCC1(COc1nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n1)-c1cccc3cccc(Cl)c13)CCC2,1000000,1660.7,16666.7,-10.73,0.6018,8.81
US_61,OC(=O)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,115.5,4081,,-11,0.6594,8.608
US_62,Oc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cc1C=O,,8407.4,,-10.02,0.6702,8.58
US_63,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2cccc(Cl)c12,,0.4,186.7,-11.21,0.7128,9.047
US_64,CC(C)(C)[Si](C)(C)OCC1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,3.3,3971,-10.46,0.6061,8.934
US_67,Oc1cc(-c2ncc3c(nc(OCCc4ccccc4F)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,1151.1,1245.6,,-10.55,0.6209,8.883
US_68,COCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,292.8,256.6,7530.9,-10.18,0.5903,8.49
US_69,OCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,521.6,529.9,16666.7,-4.63,0.605,6.193
US_70,COCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,416.7,356.2,,-10.02,0.4982,8.24
US_71,Oc1cc(-c2ncc3c(nc(OC4CCS(=O)(=O)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,137.6,125.7,16666.7,-11.08,0.5294,8.541
US_72,Oc1cc(-c2ncc3c(nc(OC4CCOCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,507.2,512.9,7260.8,-11.27,0.6195,8.596
US_73,Oc1cc(-c2ncc3c(nc(OCC4CCCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,666744.3,572.7,5555.6,-10.93,0.6086,8.62
US_74,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CC3(C2)CCOCC3)N2CC3CCC(C2)N3)c2ccccc2c1,140.6,188.2,5465.1,-10.14,0.5734,8.718
US_75,OCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,303.7,240.4,16666.7,-10.54,0.6232,8.431
US_76,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CC3(C2)CCOC3)N2CC3CCC(C2)N3)c2ccccc2c1,196.9,131.2,7412.9,-9.75,0.609,8.697
US_77,OC[C@@H]1CCCN1c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,3065.8,3137.6,,-7.29,0.503,8.455
US_78,CC(=O)N1CCC(CC1)Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,367.5,358.3,16666.7,-10.03,0.5122,8.581
US_79,Oc1cc(-c2ncc3c(nc(OC4CCSCC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1000000,336.5,,-8.46,0.5803,8.539
US_80,Oc1cc(-c2ncc3c(nc(OC4CCC(F)(F)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,500000,646.9,,-11.29,0.5417,8.569
US_81,Oc1cc(-c2ncc3c(nc(OCCC(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,320.6,152.9,8288.3,-3.43,0.5151,6.26
US_82,Oc1cc(-c2ncc3c(nc(OC4CCS(=O)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,214.8,226.8,16666.7,-9.94,0.5469,8.584
US_83,Fc1c(ncc2c(nc(OCC34CCCN3C(=O)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,8694.9,,-8.76,0.5951,8.75
US_84,Cc1nccn1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,14.4,31.7,5722.3,-10.82,0.6489,8.722
US_85,CC(C)Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,147.8,453.7,16666.7,-9.78,0.593,8.738
US_86,COc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,527559.5,7919.9,,-10.88,0.7072,8.848
US_87,Cc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,195.8,535.6,10553.8,-11.28,0.5482,8.587
US_88,Cc1ccc2[nH]ncc2c1-c1ncc2c(nc(OCCc3nccn3C)nc2c1F)N1CC2CCC(C1)N2,15593.2,7021.4,,-10.12,0.7885,8.764
US_89,Oc1cc(-c2ncc3c(nc(OCc4ccccn4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,4308.7,679.3,,-10.97,0.608,8.57
US_90,Fc1ccc2cccc(-c3ncc4c(nc(OCCc5cccnc5)nc4c3F)N3CC4CCC(C3)N4)c2c1,7805.4,4494.9,,-10.43,0.7557,8.801
US_91,CC(C)n1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,25.9,32.7,5514.1,-10.41,0.4908,8.673
US_92,Fc1c(ncc2c(nc(OCCc3cn4ccccc4n3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,2303.5,1348.4,,-10.99,0.6143,8.806
