ID,SMILES,Affinity,CNN_Pose_Score,CNN_Affinity
hop_93,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H](C3)N(C[C@H]45)C[C@H](N5)CC4)[C@H]([C@]36C)C(=O)C[C@@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CCC[C@H]([C@]12C)C(=O)CCC2,-4.8,0.5767,6.724
hop_94,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H]3[C@H](CN4C)[C@H](C)[C@@](C)([C@@H]([C@@H]34)C(=O)N(C[C@H]56)C[C@H](N6)CC5)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C[C@H]1C(C)(C)C[C@H](C[C@H]12)N(C)C2,-4.87,0.4508,6.471
hop_95,C#Cc1c(F)ccc(c12)cc(O)cc2CC([C@H]3S(=O)(=O)CN(C[C@H]45)C[C@H](N5)CC4)=C(C)c(c36)oc(n6)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC1=C(C)Cc(c12)nco2,-7.78,0.5818,9.06
hop_96,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH]c(N(C[C@H]45)C[C@H](N5)CC4)cc3NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1cc[nH]c1,-9.2,0.6575,8.958
hop_97,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]([C@@]3(C)C(=O)N(C[C@H]45)C[C@H](N5)CC4)ON[C@@H]3Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@@H]1[C@@H](C)NO[C@@H]1C,-7.97,0.5982,8.925
hop_98,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(cs6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from s1cc(C)n(c12)c[nH+]c2,-4.19,0.3455,6.558
hop_99,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@](O)(CCO3)C[C@]3(CN(C[C@H]45)C[C@H](N5)CC4)CN(C)C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 2 from C[C@]1(O)C[C@@H](C)OCC1,-3.77,0.6627,8.977
hop_100,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)N(C)[C@H]([C@@](O)(C[C@H]34)CN(C[C@H]56)C[C@H](N6)CC5)[C@@H]([N@@H+]3C)C[C@H]4c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C[C@](C1)(O)C[C@H]([N@H+]2C)CC[C@@H]12,-5.7,0.492,9.264
hop_101,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@H]3NC(=O)Oc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c(N)c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C[C@@H]1NC(=O)Oc(c12)cc(N)cc2,-4.33,0.3945,6.549
hop_102,C#Cc1c(F)ccc(c12)cc(O)cc2CC(NC(=O)N3)=C([C@@H]34)C[C@H](C[C@H]4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC=1NC(=O)N[C@@H](C12)CCCC2,-3.31,0.3743,6.287
hop_103,C#Cc1c(F)ccc(c12)cc(O)cc2[C@H](C3)CNc(c34)c(cc(c4C#N)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from N#Cc1cccc(c12)NCCC2,-1.92,0.5937,9.131
hop_104,C1[C@@H](F)CN(CCC2)[C@]12COCc(nc3)[n+](CC(=O)N(C[C@H]45)C[C@H](N5)CC4)c(c36)c([nH]n6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1[nH]nc(c12)cnc(C)[nH+]2,-4.18,0.2166,6.204
hop_105,C1[C@@H](F)CN(CCC2)[C@]12COCS(=O)(=O)N[C@]3(CN(C[C@H]45)C[C@H](N5)CC4)[C@H](C3)NCC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@]1(N)[C@@H](C1)N,-9.58,0.5536,8.873
hop_106,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]([C@H]3C)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([N@H+]36)CC[C@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1CC[C@H](C)[N@H+]([C@@H]12)CCCC2,-4.01,0.4792,6.208
hop_107,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)N(C)C[C@@H]([C@@]3(O)CN(C[C@H]45)C[C@H](N5)CC4)[C@@](C)(NC(=O)C3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from CC1(C)C[C@@](C)(O)CC(=O)N1,-5.56,0.4826,6.589
hop_108,C#Cc1c(F)ccc(c12)cc(O)cc2[C@H](\C(=N\O)C\3=C(C)\CN(C[C@H]45)C[C@H](N5)CC4)[C@H](C)C[C@@H]3C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from CC(C)=C1/C(=N\O)C[C@H](C)CC1,-2.6,0.5503,6.354
hop_109,C1[C@@H](F)CN(CCC2)[C@]12COc(c3C#N)[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)cc3S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 2 from N#Cc1ccc[nH+]c1,-4.69,0.4078,6.49
hop_110,C1[C@@H](F)CN(CCC2)[C@]12COc(c(C#N)c3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)c(cn6C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cc(C#N)cc(c12)n(C)cc2C,-3.97,0.397,6.935
hop_111,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)C[C@]3(C)NCC(C)=C([C@H]3N(C[C@H]45)C[C@H](N5)CC4)COC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from N1CC(C)=C(C)CC1(C)C,-6.4,0.2862,6.312
hop_112,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C[C@H]3[C@@H](OC[C@@H](N3)C(=O)N(C[C@H]45)C[C@H](N5)CC4)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@@H]1[C@@H](C)OCCN1,-6.64,0.4163,8.435
hop_113,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[n+](c3N(C[C@H]45)C[C@H](N5)CC4)c(C)n(c36)c(cs6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from s1cc(C)n(c12)c(C)[nH+]c2,-2.69,0.3509,6.379
hop_114,C1[C@@H](F)CN(CCC2)[C@]12COc(c3)c[n+](cc3N(C[C@H]45)C[C@H](N5)CC4)S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 2 from c1cc[nH+]cc1,-6.53,0.6967,8.717
hop_115,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([C@H]36)C(=O)C(C)(C)[C@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1C(C)(C)CC[C@H]([C@@H]12)CCCC2,-5.44,0.4685,6.579
hop_116,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](CC3(C)C)\C(=N\O)c(c34)cc(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC1(C)CCC(=N\O)\c(c12)cccc2,-3.02,0.5809,9.359
hop_117,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C3)CC(C[C@@H]3N(C[C@H]45)C[C@H](N5)CC4)=C=CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C=C=C1CCCCC1,-6.39,0.6759,9.167
hop_118,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@](C)(c(c34)[nH]nc4C)C[C@@H](C(=O)N(C[C@H]56)C[C@H](N6)CC5)[C@H]3Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1n[nH]c(c12)[C@@H](C)CC[C@H]2C,-4.43,0.4304,6.667
hop_119,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H]3N(C[C@H]45)C[C@H](N5)CC4)C[C@@H]([C@H]36)C[C@@H]([C@H](S6)C)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1C[C@@H](C)S[C@H]([C@@H]12)CCCC2,-6.13,0.5036,6.623
hop_120,C1[C@@H](F)CN(CCC2)[C@]12COc(n3C)nc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)nc(n6)NCCc7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1ncn(C)c(c12)nc(n2)N,-7.99,0.5826,8.74
hop_121,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@H](C[C@H]34)C[C@@H](C3)[C@H](C(=O)[C@@H]4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C[C@@H](C1)C[C@@H](C2)CC(=O)C[C@H]12,-6.46,0.6038,6.952
hop_122,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@]3(C)CCC(=O)C[C@@H](CN(C[C@H]45)C[C@H](N5)CC4)[C@@H]3CNC(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 2 from CC1(C)C[C@@H](C)CC(=O)CC1,-3.27,0.4295,6.393
hop_123,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@H](N(C)C3)[C@H]([C@]34N(C[C@H]56)C[C@H](N6)CC5)[C@H]([NH2+]C4)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C[C@@H]1[NH2+]C[C@@H]([C@@H]12)CN(C)C2,-3.45,0.4237,6.406
hop_124,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)c/c(n3C)=N\CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C/N=c1\ccccn1C,-2.47,0.689,8.937
hop_125,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)C([C@H]36)=NN=C6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N1N=C(C)[C@@H](C=12)CCCC2,-6.64,0.5871,8.958
hop_126,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@]34[C@](O)(C[C@@H](CC4)N(C[C@H]56)C[C@H](N6)CC5)C[C@@H](C[NH2+]3)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CC[NH2+][C@H]([C@]12O)CCCC2,-4.33,0.5917,6.329
hop_127,C1[C@@H](F)CN(CCC2)[C@]12COCS(=O)(=O)[C@@H]3C(=NN[C@@]34C[C@@H]4N(C[C@H]56)C[C@H](N6)CC5)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N1N=C(C)CC12CC2,-7.74,0.68,8.866
hop_128,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)nc([nH+]c3N(C[C@H]45)C[C@H](N5)CC4)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1nc[nH+]cn1,-7.82,0.5991,8.694
hop_129,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@](C)(c(c34)ncnn4)O[C@@]3(CN(C[C@H]56)C[C@H](N6)CC5)CN(C)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC1(C)OC(C)(C)c(c12)nncn2,-3.8,0.4497,6.75
hop_130,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C[C@@]34N(C[C@H](C4)N(C[C@H]56)C[C@H](N6)CC5)C[C@@H](C3)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1CCN(C12C)CCC2,-4.69,0.4942,6.492
hop_131,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3C#N)N(C[C@H]45)C[C@H](N5)CC4)c(c36)N(C)C[C@@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1cccc(c12)N(C)CCC2,-3.25,0.4651,6.95
hop_132,C1[C@@H](F)CN(CCC2)[C@]12COCS(=O)(=O)[C@@H]([C@H]34)[C@H]([NH3+])[C@@H](N(C[C@H]56)C[C@H](N6)CC5)[C@H](N4C)CC[C@@H]3c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CC[C@@H](N2C)C[C@@H]([NH3+])C[C@H]12,-4.21,0.5291,6.673
hop_133,C1[C@@H](F)CN(CCC2)[C@]12COC[C@@H]([C@]34N(C[C@H]56)C[C@H](N6)CC5)C[C@H](C4)[C@@H]([C@H]3C#N)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from N#C[C@@H]([C@@H]12)[C@@H](C)[C@@H](C2)C[C@H]1C,-5.33,0.5181,6.343
hop_134,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H]3N(C[C@H]45)C[C@H](N5)CC4)CC(=C36)C[C@H](C(=O)C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CCCC(=C12)CCC(=O)C2,-2.96,0.4277,6.219
hop_135,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H]3N(C[C@H]45)C[C@H](N5)CC4)C[C@@H]([C@H]36)[C@@H](O)[C@@H]([C@H](S6)C)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O[C@H]1C[C@@H](C)S[C@H]([C@@H]12)CCCC2,-5.2,0.6482,9.45
hop_136,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@H]([C@@H]34)C[C@H](N3)CN(C[C@@H]4N(C[C@H]56)C[C@H](N6)CC5)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CN(C)C[C@H](N2)CC[C@@H]12,-6.07,0.4378,6.541
hop_137,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](S3(=O)=O)CN[C@@H](CN(C[C@H]45)C[C@H](N5)CC4)[C@@H]3N(C)C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from O=S1(=O)C[C@@H](C)NCC1,-5.03,0.3842,6.207
hop_138,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]([C@@]3(C)O)[C@H](CC(=O)N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([C@]3([NH3+])C)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@]1([NH3+])[C@](C)(O)CC[C@@H]1C,-4.32,0.6134,6.607
hop_139,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@H]3[N@H+](C)C[C@@](CNC4)([C@]34C(=O)N(C[C@H]56)C[C@H](N6)CC5)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1NC[C@@H]([C@@]12C)C[N@@H+](C)C2,-5.18,0.4084,6.399
hop_140,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3[C@@H](C[NH2+]4)[C@@H](C(=O)N(C[C@H]56)C[C@H](N6)CC5)[C@](C)(C[C@H]34)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC(C)(C1)C[C@@H](C[C@@H]12)[NH2+]C2,-4.9,0.5684,6.445
hop_141,C1[C@@H](F)CN(CCC2)[C@]12COc(c(C)c(c3=O)N(C[C@H]45)C[C@H](N5)CC4)nn3S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cc(=O)[nH]nc1,-7.57,0.6531,8.784
hop_142,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@](N)([C@H]3N(C[C@H]45)C[C@H](N5)CC4)[C@H]([C@H]36)N[C@H](C6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from N1CC[C@@H]([C@@H]12)C[C@@H]2N,-3.76,0.4348,6.027
hop_143,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)[C@@H](C(=O)[C@H](C)[C@@H]34)[C@@H](C(=O)N(C[C@H]56)C[C@H](N6)CC5)[C@@]4(C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC(C)([C@@H]12)C[C@@H](CC2)C(=O)[C@@H]1C,-2.74,0.5357,6.455
hop_144,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)N(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)[C@](C)([C@@H]([NH3+])C3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from CC1(C)[C@H]([NH3+])CC(C)(C)N1,-4.75,0.4622,6.171
hop_145,C#Cc1c(F)ccc(c12)cc(O)cc2[C@]34CNC[C@H](C3)[C@H]5N(C4)C(=O)[C@H](N(C[C@H]67)C[C@H](N7)CC6)C[C@@H]5OC[C@@]89N(C[C@H](F)C8)CCC9 St 1 from C1CCC(=O)N([C@H]1[C@H]23)C[C@@H](C2)CNC3,8.65,0.4211,6.636
hop_146,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H]([C@@H]3[NH3+])CC[C@H]([C@@H]3N(C[C@H]45)C[C@H](N5)CC4)NC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from N[C@@H]1C[C@H]([NH3+])CCC1,-4.9,0.5716,6.587
hop_147,C1[C@@H](F)CN(CCC2)[C@]12COc(c(Cl)c(n3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)NC(=O)[C@H](O6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N1C(=O)COc(c12)ncc(Cl)c2,-3.07,0.4543,6.716
hop_148,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C(=O)N3C)[C@@H](C)[N@@H+](C)c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CN1C(=O)C[C@@H](C)[N@@H+](C)c(c12)cccc2,2.92,0.407,8.875
hop_149,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H]3N(C[C@H]45)C[C@H](N5)CC4)C[C@@H]([C@H]36)C(=O)[C@@H]([C@@H](S6)C)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1C[C@H](C)S[C@H]([C@@H]12)CCCC2,-2.85,0.5649,6.737
hop_150,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3[C@@H](CC[C@@H]34)C(C(=O)N(C[C@H]56)C[C@H](N6)CC5)=C4CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC([C@H]12)=C[C@@H](C1)CC2,-5.74,0.6204,6.748
hop_151,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)cc(C(=O)N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(cn6)[NH2+]C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from n1cc([NH3+])n(c12)cccn2,-5.17,0.5775,8.884
hop_152,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C[C@H]([C@H](CCC3)N(C[C@H]45)C[C@H](N5)CC4)CC[C@@H]3c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1CCCCCCC1,-7.75,0.579,8.96
hop_153,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]([C@]3(C)C#N)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([N@H+]36)CC[C@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CC[C@](C#N)(C)[N@H+]([C@@H]12)CCCC2,-2.51,0.4044,6.421
hop_154,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@]34N(C[C@H]56)C[C@H](N6)CC5)C(=O)[C@@](NC3=O)(C4(C)C)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C[C@]12C(C)(C)[C@@H](C(=O)N2)CCC1=O,-6.03,0.4512,6.37
hop_155,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[n+](c3N(C[C@H]45)C[C@H](N5)CC4)c(=O)cc(s3)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cc(=O)[nH+]cs1,-8.02,0.6358,8.879
hop_156,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3[C@](C)(C(=O)N(C[C@H]45)C[C@H](N5)CC4)ON(CCCC6)[C@]36\C=C\Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C[C@@H](C1)ON([C@@H]12)CCCC2,-5.96,0.3839,6.609
hop_157,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@](C3=O)(CCC4)[C@@H](C)[C@H]([C@H]5[C@@]34N(C[C@H]67)C[C@H](N7)CC6)C[C@H](CC5)c8cc(O)cc(c89)ccc(F)c9C#C St 1 from C1CCC[C@H]([C@@H]2C)[C@H]1[C@@H](C(=O)[C@@H]23)CCC3,-3.2,0.5147,6.661
hop_158,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([C@H]36)S(=O)(=O)[C@H](C)[C@H](C6=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1C[C@@H](C)S(=O)(=O)[C@H]([C@@H]12)CCCC2,-1.58,0.4949,6.487
hop_159,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@](C3=O)(CCC4)[C@@H](C)[C@H]([C@@]5(O)[C@@]34N(C[C@H]67)C[C@H](N7)CC6)C[C@H](CC5)c8cc(O)cc(c89)ccc(F)c9C#C St 1 from O[C@@]12[C@H]3C(=O)[C@H](CCC3)[C@@H](C)[C@H]1CCCC2,-5.05,0.4569,6.576
hop_160,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]([C@@H](C3)C)[C@@H](N[C@@H]34)[C@@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4C(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [C@@H]12C[C@H](C)C[C@H](N2)CCC1,-6.5,0.4271,6.662
hop_161,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@H]([C@H]([C@H]34)N=NN3)[C@H](N(C[C@H]56)C[C@H](N6)CC5)CC[C@H]4C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N1=NN[C@@H]([C@H]12)CCCCC2,-3.24,0.3942,6.477
hop_162,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(c(s6)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc(s1)c(C)n(c12)c[nH+]c2,-3.34,0.457,6.767
hop_163,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H]([C@@H]([C@@]345)COC3)N(C[C@H]67)C[C@H](N7)CC6)[C@H]5C(C)(C)C(=O)[C@H](C4)c8cc(O)cc(c89)ccc(F)c9C#C St 4 from C1CC(=O)C(C)(C)[C@H]2CCC[C@H]([C@]123)COC3,8.03,0.5355,9.178
hop_164,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)[C@H](N(C)C3=O)Cc(n34)c(N(C[C@H]56)C[C@H](N6)CC5)nc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1CN(C)C(=O)n(c12)cnc2,-5.43,0.4374,6.532
hop_165,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cc(c36)n([nH+]c6N)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from Nc1[nH+]n(C)c(c12)cccc2,-4.8,0.4088,6.686
hop_166,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)OC([C@H](C3)N(C[C@H]45)C[C@H](N5)CC4)=Nc(c36)[nH]c([nH+]6)-c7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1c[nH]c(c12)N=C(O)CC2,-12.09,0.634,8.793
hop_167,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@H]([C@@H](c(c34)[nH]nc3)N(C[C@H]56)C[C@H](N6)CC5)[N@@H+](C)C[C@H]4c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1C[N@@H+](C)CCc(c12)[nH]nc2,-5.04,0.4444,6.484
hop_168,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](CNC[C@H]3CN(C[C@H]45)C[C@H](N5)CC4)C[N@@H+]3CC(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from C[C@@H]1CNCCC[NH2+]1,-6.59,0.5071,8.746
hop_169,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)c(c(c36)[nH]c(=O)/c(=N\O)nc6)NS(=O)(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cccc(c12)[nH]c(=O)/c(=N\O)nc2,-5.49,0.3591,6.762
hop_170,C1[C@@H](F)CN(CCC2)[C@]12COc(c3[O-])ccc(N(C[C@H]45)C[C@H](N5)CC4)c(=O)c3S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from [O-]c1cc(=O)cccc1,-4.54,0.4907,6.54
hop_171,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](S3(=O)=O)C[N@H+](C(=O)N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([C@H]3C)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=S1(=O)[C@H](C)[C@@H](C)[NH2+]CC1,-6.23,0.4196,6.546
hop_172,C#Cc1c(F)ccc(c12)cc(O)cc2CC(=C3C)[C@H](O)CC[C@]3(CN(C[C@H]45)C[C@H](N5)CC4)CN(C)C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 2 from CC1(C)C(C)=C(C)[C@H](O)CC1,-3.89,0.505,6.423
hop_173,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)N(C)C[C@@H]([C@H]6C#N)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#C[C@@H]1CCN(C)c(c12)cccc2,-3.26,0.489,6.987
hop_174,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)[C@](C)([C@H](O)C[C@H]3N(C[C@H]45)C[C@H](N5)CC4)[C@H]([C@@H]36)CO[C@H]6C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C[C@@H]1[C@@H](O)CC[C@@H]([C@H]12)COC2,-3.36,0.5158,5.934
hop_175,C#Cc1c(F)ccc(c12)cc(O)cc2Cc([nH]3)[nH+]c(c34)ncc(c4N(C[C@H]56)C[C@H](N6)CC5)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc([nH]1)[nH+]c(c12)nccc2,-9.47,0.5353,8.974
hop_176,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)n(c([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)c(CCN6)c3[C@]67CN(C)C(=O)C[C@@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 1 from CN(C1)C(=O)CC[C@]12c3c(CCN2)[nH]c[nH+]3,-5.11,0.6013,6.661
hop_177,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]([C@]34N(C[C@H]56)C[C@H](N6)CC5)C(C)(C)[C@@H](C3)[C@@](O)(C4)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC(C)([C@@H]12)[C@@H](C)[C@@H](C2)C[C@H]1O,-4.42,0.4158,6.416
hop_178,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)CCc(o3)[n+](cc3N(C[C@H]45)C[C@H](N5)CC4)CCc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1[nH+]cco1,-5.76,0.6856,8.735
