ID,SMILES
hop_10,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3c(N)ncc(c34)c(c([NH3+])c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1c(N)ncc(c12)cc([NH3+])cc2
hop_11,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3C)n(c34)nc(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)n(c12)nccc2
hop_12,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(c[nH+]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1cc(C)n(c12)cccc2
hop_13,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3nnn(c34)c(cc(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1nnn(c12)cccc2
hop_14,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H]([C@@H]3[NH3+])[C@@H](C)Oc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from [NH3+][C@@H]1C[C@H](C)Oc(c12)cccc2
hop_15,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cn(C)c(c34)c([nH+]c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1cn(C)c(c12)c[nH+]cc2
hop_16,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)CNc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4C#N)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from N#Cc1cccc(c12)NCCC2
hop_17,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)oc(C#N)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1c(C#N)oc(c12)cccc2
hop_18,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3n(C)[nH+]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c(N)c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1n(C)[nH+]c(c12)cc(N)cc2
hop_19,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)n(c36)CC[C@H](NC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1ncn(c12)CCCNC2
hop_20,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cnn(c34)c(c(C)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cnn(c12)cc(C)cc2
hop_21,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(C(=O)OC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1OC(=O)C(C)=CC1(C)C
hop_22,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)S[N@H+](C6=O)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1[NH2+]Sc(c12)cccc2
hop_23,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(cn6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from n1cc(C)n(c12)ccnc2
hop_24,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1nc(C)n(c12)cccc2
hop_25,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)c(C)c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)cc(C)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1c(C)cn(c12)cc(C)cn2
hop_26,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cc(C)[nH]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)[nH]c(c12)cccc2=O
