ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_389,COC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cc(O)cc4ccccc34)CCCN12,,1.4,780.7,,0.3364793794528456,6.6601909659352625,-12.95946,-1.07267,0.49722,0.77769,7.98903,0.04654
us_390,COC(c1ccc(O)cc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2)C(F)(F)F,,36.8,6108.7,,3.605498116913979,8.717469265207315,-9.97953,-1.88287,0.98354,0.44519,7.74037,0.39521
us_391,Cc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2cn[nH]c2c1,,661.7,,,6.494812296130602,,-11.87702,-0.77706,0.72257,0.65663,7.69798,0.08684
us_392,Oc1cccc(OC(F)(F)F)c1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,208.2,,,5.338499204211606,,-12.74001,-1.26823,0.23398,0.81115,7.85667,0.21651
us_393,Oc1cc(-c2ncc3c(nc(OCCC(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,,76.3,7579.3,,4.334673069352002,8.933176127406474,-13.37018,-0.23063,0.88094,0.63888,7.90967,0.2565
us_394,CC(C)c1cccc(C(C)C)c1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,2500.0,,,7.824046014856292,,-12.21891,-1.71636,0.97789,0.63819,8.0928,0.14496
us_395,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OC[C@@]23CCCN2C[C@H](F)C3)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,2.6,6.9,1089.1,0.9555152911738861,1.9315228608775257,6.993106955263534,-14.0752,-1.23312,0.54411,0.72321,8.1886,0.20349
us_396,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CC(F)C(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,34.8,206.8,8173.3,3.549617674136709,5.331752190990172,9.008628024293792,-14.50062,-1.13532,0.7013,0.73651,8.05088,0.06811
us_397,CO[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OC[C@@]23CCCN2C[C@H](F)C3)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,183.2,886.9,16666.7,5.210578506825181,6.787732247657635,9.721167996340172,-12.68067,-1.86898,0.34739,0.69308,7.68058,0.24533
us_398,CN1CCC(F)(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CC1,,593.2,,,6.385531627121497,,-13.19166,-0.82922,0.66843,0.7265,7.92266,0.33044
us_399,CC(C)c1ccc(O)cc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,2.7,509.9,,0.9932554767071284,6.234214647672798,-9.46685,-1.17059,0.99515,0.48399,7.5292,0.3306
us_400,Oc1cc(-c2ncc3c(nc(OCC45CCCN4C(CF)CC5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,,4.2,260.6,,1.435086906238869,5.562986703063729,-13.92293,-1.01015,0.42026,0.79057,8.01747,0.0254
us_401,Cc1c(Cl)cc2[nH]ncc2c1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,2.8,603.5,,1.029622988603352,6.402746057107594,-12.43991,-0.85672,0.6377,0.7304,8.03772,0.07323
us_402,CC(C)(O)c1ccccc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,8017.6,,,8.989394405452716,,-12.43561,-0.67671,0.67251,0.6842,7.93885,0.32064
