Index,Example,IUPAC,SMILES
79,79,"N-((2-aminopyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-methyl-2-((tetrahydro- 1H-pyrroliz.in-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",Did not work
80,80,"N-((1H-benzo[d]imidazol-5-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1C=NC2=C1C=CC(=C2)CNC=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CC=CC2=CC=CC(=C12)F)F
81,81,"3-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC1CC(C(C2)C1)O)OCC12CCCN2CCC1)C1=CC=CC2=CC=CC(=C12)F
82,82,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2CC(C(C1)C2)O)OC[C@]21CCCN1C[C@@H](C2)F)F)O)F
83,83,"(4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-yl)methanol",FC1=C(N=CC2=C1N=C(N=C2N2CCOCC(C2)CO)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
84,84,N-(3-(1H-pyrazol-3-yl) propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl) methoxy) pyrido [4. 3-d] pyrimidin-4-amine,Did not work
85,85,"(3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[/l,3-d]pyrimidin-4-yl)amino)bicyclo[1.1.1]pentan-1-yl)methanol",Did not work
86,86,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)piperidine-3-carboxamide",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)C(=O)N)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
87,87,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)azepane-4-carbonitrile",FC1=C(N=CC2=C1N=C(N=C2N2CCC(CCC2)C#N)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
88,88,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1-methylpyridin-2(1H)-one",FC1=C(N=CC2=C1N=C(N=C2NCC=2C=CC(N(C2)C)=O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
89,89,"(3S,5R)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3,5-diol",FC1=C(N=CC2=C1N=C(N=C2N2C[C@H](C[C@H](C2)O)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
90,90,"3-((8-fluoro-7-(8-fluoronaphfhalen-1-yl)-2-((hexahydro-1H-pyrralizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)bicyclo[1.1.1]pentan-1-ol",Did not work
91,91,"trans-3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)cyclobutane-1-carboxylic acid",FC1=C(N=CC2=C1N=C(N=C2N[C@@H]2C[C@H](C2)C(=O)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
92,92,"N-((7H-pyrrolo[2,3-d]pyrimidin-2-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1=C(N=CC2=C1NC=C2)CNC=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CC=CC2=CC=CC(=C12)F)F
93,93,"N-((1H-pyrazol-4-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin- 7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1N=CC(=C1)CNC=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
94,94,"N-((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1C=C(C=2C1=NC=CC2)CNC=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CC=CC2=CC=CC(=C12)F)F
95,95,"3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)prido[1,3-d]pyrimidin-4-yl)amino)thictanc 1 , 1 -dioxide",Did not work
96,96,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyridin-2(1H)-one",FC1=C(N=CC2=C1N=C(N=C2NCC=2C=CC(NC2)=O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
97,97,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrim idin-4-yl)- 1 ,6-d iazaspiro [3.5] nonan-2-one",FC1=C(N=CC2=C1N=C(N=C2N2CC1(CC(N1)=O)CCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
98,98,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1-one",FC1=C(N=CC2=C1N=C(N=C2N2CC1(CNC1=O)CCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
99,99,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(l -methyl- 1H-indazol-6-yl)pyrido[4,3-d]pyrimidin-4-amine",Did not work
100,100,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(1H- indazol-5-yl)pyrido[4,3-d]pyrimidin-4-amine",FC1=C(N=CC2=C1N=C(N=C2NC=2C=C1C=NNC1=CC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
101,101,"4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrol izin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",N1(C=NC=C1)C1CN(C1)C=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)Cl)F
102,102,"4-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)inethyl)pyrrolidin-2-one",Did not work
103,103,"3-(3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)propyl)-1H-l ,2,4-triazol-5-ol",Did not work
104,104,"-(2-(1H-pyrazol-4-yl)pyrrolidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
105,105,"(5-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-1,2,4-triazol-3-yl)methanol",ClC=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)NCC1=NC(=NN1)CO)OCC12CCCN2CCC1)F
106,106,"6-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",ClC=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C2CC(CC(C1)C2)O)OCC21CCCN1CCC2)F
107,107,"3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)azetidine-1-carboxamide",ClC=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)NC1CN(C1)C(=O)N)OCC12CCCN2CCC1)F
108,108,"-(3-(1H-1,2,3-triazol-4-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro- 1H-pyrrolizin-7a(5H)=yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
109,109,"-(3-(1H-pyrazol-1-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
110,110,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)oxazolidin-2-one",FC1=C(N=CC2=C1N=C(N=C2NCC2CNC(O2)=O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
111,111,"4-(8-fluoro-7-(8-fluoronaphthalen- 1 -yl)-2-((tetrahydro- 1 H-py rrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol",FC1=C(N=CC2=C1N=C(N=C2N2CCOCC(C2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
112,112,"(3R,5R)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-I H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5-methylpiperidin-3-ol",Did not work
113,113,"( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)CO)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
114,114,"-fluoro-7-(8-fluoronaphthalen-1-yl)-4-(5-azaspiro[2.5]octan-5-yl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
115,115,"N-(2-(1H-1,2,3-triazol-4-yl)ethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1N=NC(=C1)CCNC=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
116,116,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrroIizin-7a(5H)- y l)methoxy)pyrido[4,3 -d] pyrimidin-4-yl)-6-methy lazepan-4-ol",Did not work
117,117,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-(hydroxymethyl)piperidin-4-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(C(CC2)O)CO)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
118,118,"N-(3-(1H-1,2,3-triazol-1-yl)propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1(N=NC=C1)CCCNC=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
119,119,"N-(3-(1H-tetrazol-1-yl)propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",N1(N=NN=C1)CCCNC=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)F)F
120,120,"2-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)isoindolin-4-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC=1C=CC=C(C1C2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
121,121,"N-([l,2,4]triazolo[4,3-a]pyrimidin-3-ylmethyI)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",Did not work
122,122,"N-([l,2,4]triazolo[4,3-b]pyridazin-3-ylmethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((tetiahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4.3-d]pyrimidin-4-amine",Did not work
123,123,"4-(3,6-dihydropyridin-l(2H)-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
124,124,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-(3-(pyridin-3-yl)propyl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",FC1=C(N=CC2=C1N=C(N=C2NCCCC=2C=NC=CC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
125,125,"N-(benzo[c][l,2,5]oxadiazol-5-ylmethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",Did not work
126,126,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydropyrazolo[l,5-a]pyrazin-2-amine",Did not work
127,127,"3-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)thietane 1,1 -dioxide",FC1=C(N=CC2=C1N=C(N=C2NCC2CS(C2)(=O)=O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
128,128,"(R)-3-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)metlioxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)isothiazolidine 1,1 -dioxide",Did not work
129,129,"1 -(8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((tetrahydro- 1 H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)azepan-4-ol",FC1=C(N=CC2=C1N=C(N=C2N2CCC(CCC2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
130,130,"( 1 -(8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((tetrahydro- 1 H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)azepan-3-yl)methanol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCCC2)CO)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
131,131,"-(3-(1H-pyrazol-3-yl)piperidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
132,132,"1-(7-(3-chloro-5-hydroxy-2-((lS,2R)-2-methylcyclopropyl)phenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Did not work
133,133,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one",Did not work
134,134,"4-(4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1(C=NC=C1)C1CN(C1)C=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)F
135,135,"4-(4-((3-(1H-pyrazol-3-yl)propyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1N=C(C=C1)CCCNC=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)F
136,136,"4-(4-(((2-aminopyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",NC1=NC=CC=C1CNC=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)F
137,137,"4-(4-(3-(1H-1,2,4-triazol-5-yl)piperidin-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5,6-difluoronaphthalen-2-ol",N1N=CN=C1C1CN(CCC1)C=1C2=C(N=C(N1)OCC13CCCN3CCC1)C(=C(N=C2)C2=CC(=CC1=CC=C(C(=C21)F)F)O)F
138,138,"5,6-difluoro-4-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(3-methyl-1H-1,2,4- triazol-5-yl)piperidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",FC1=C2C(=CC(=CC2=CC=C1F)O)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)C1=NC(=NN1)C)OCC12CCCN2CCC1)F
139,139,"4-(4-(((1H-benzo[d]imidazol-5-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1C=NC2=C1C=CC(=C2)CNC=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O)F
140,140,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2CC(C(C1)C2)O)OC[C@]21CCCN1C[C@@H](C2)F)F)O)F
141,141,"3-((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)aniiiio)propenamide",Did not work
142,142,"4-(4-(((7H-pyrrolo[2,3-d]pyrimidin-2-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4, 3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol",N1=C(N=CC2=C1NC=C2)CNC=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O)F
143,143,"5-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4- y l)amino)methy l)pyridin-2( 1 H)-one",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)NCC=1C=CC(NC1)=O)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
144,144,"1-(7-(5-cyclopropyl-6-methyl-1H-indazol-4-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C1(CC1)C=1C(=C2C=NNC2=CC1C)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1)F
145,145,"4-(4-(3-( 1 H- 1 ,2,4-triazol-5-yl)piperidin- 1 -yl)-8-fluoro-2-(((2R, 7aS)-2-fluorohexahydro- 1 H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol.",Did not work
146,146,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1- one",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CNC2=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
147,147,"1 -(7-(8-ethy 1 - 7-fl uoro-3 -hydroxynaphthalen- 1 -y 1)- 8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3-carboxamide",Did not work
148,148,"6-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)- 1 ,6-",Did not work
149,149,"4-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol",C(#C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CCOCC(C1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
150,150,"4-(4-(((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynyl-6-fluoronaphthalen-2-ol",N1C=C(C=2C1=NC=CC2)CNC=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)C#C)F)O)F
151,151,"1 -(8-fl uoro-7-(3-hy droxy naphthalen- 1 -y l)-2-((tetrahydro- 1 H-py rrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)(O)C)OCC21CCCN1CCC2)C2=CC(=CC1=CC=CC=C21)O
152,152,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (isoxazol-3-ylamino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",C(C)C1=C2C(=CC(=CC2=CC=C1F)O)C1=C(C=2N=C(N=C(C2C=N1)NC1=NOC=C1)OC[C@]12CCCN2C[C@@H](C1)F)F
153,153,"(3R)-1-(7-(6-chloro-5-(2-methylcyclopropyl)-1H-indazol-4-yl)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-",Did not work
154,154,"(3R)-1-(7-(1H-benzo[f]indazol-4-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",N1N=CC2=C(C3=C(C=C12)C=CC=C3)C3=C(C=1N=C(N=C(C1C=N3)N3C[C@@](CCC3)(O)C)OC[C@]31CCCN1C[C@@H](C3)F)F
155,155,"2-(4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R, 7aS))-2- fluorohexahydro-17/-pyrroliziii-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperazin-1- yl)nicotinonitrile",Did not work
156,156,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-((imidazo[l,2-a]pyridin-6-ylrnethyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Did not work
157,157,"4-(4-((2-(1H-pyrrolo[2,3-b]pyridin-3-yl)ethyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)metlioxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol",Did not work
