Index,Example,IUPAC,SMILES
16,16,"(R)-1-(7-(8-ethyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C(=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)F
17,17,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)(O)C)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
18,18,"4-((lR,5S)-3-azabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
19,19,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-((l- methylcyclobutyl)methyl)pyrido[4,3-d]pyrimidin-4-amine",Did not work
20,20,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]dccan-3-onc",Did not work
21,21,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(piperidin- 1 -yl)pyrido [4,3 -d]pyrimidine",FC1=C(N=CC2=C1N=C(N=C2N2CCCCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
22,22,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3- methylpiperidin-1-yl)pyrido[4,3-d]pyrimidine",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)C)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
23,23,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)piperidin-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
24,24,"7-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",C(#C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(NC2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
25,25,"1-(7-(5,6-dimethyl-1H-indazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrroliziri-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Did not work
26,26,"7-(7-(5,6-dimethyl-1H-indazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",CC=1C(=C2C=NNC2=CC1C)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(NC2)=O)CCC1)OCC12CCCN2CCC1)F
27,27,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-((hexahydro-l.H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Did not work
28,28,"(3R)-1-[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-8-fluoro-2-[[(2S)-1-methylpyrrolidin-2- yl]methoxy]pyrido[4,3-d]pyrimidin-4-yl]-3-methyl-piperidin-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C[C@@](CCC1)(O)C)OC[C@H]1N(CCC1)C)F)O)F
29,29,"4-(((8-fluoro-7-(8-fiuoronaphthalen- 1 -y l)-2-((hexahydro- 1 H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyrrolidin-2-one",Did not work
30,30,"4-(3-(1H-l ,2,4-triazol-3-yl)piperidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
31,31,"4-(2-azabicyclo[4.L0]heptan-2-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
