index,Example,IUPAC,SMILES
66,66,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)N(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
67,67,"4-(4-(3-(1H-pyrazol-1-yl)piperidin-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1(N=CC=C1)C1CN(CCC1)C=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O
68,68,"(R)-1-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)O)F
69,69,"7-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(C(NC(N2)=O)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)O)F
70,70,"6-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(CC(N2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)O)F
71,71,"6-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azaspiro[3.5]nonan-2-ol",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(CC(C2)O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)O)F
72,72,"7-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide",Did not work
73,73,"5-chloro-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(6-(hydroxymethyl)-1,4-oxazepan-4-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol",ClC1=C2C(=CC(=CC2=CC=C1F)O)N1CC=2N=C(N=C(C2CC1)N1CCOCC(C1)CO)OC[C@]12CCCN2C[C@@H](C1)F
74,74,"4-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCOCC(C1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)O)F
75,75,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-chloro-6-fluoronaphthalen-2-ol",NC1=NN2C(CN(CCC2)C=2C3=C(N=C(N2)OC[C@]24CCCN4C[C@@H](C2)F)CN(CC3)C3=CC(=CC2=CC=C(C(=C32)Cl)F)O)=C1
76,76_77,"6-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",ClC=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C2CC(CC(C1)C2)O)OC[C@]21CCCN1C[C@@H](C2)F)O)F
77,77,,Did not work
78,78,"5-(7-(8-bromonaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",BrC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2C(C1)C(NC2=O)=O)OCC21CCCN1CCC2
79,79,"5-(7-(8-chloronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2C(C1)C(NC2=O)=O)OCC21CCCN1CCC2
80,80,"5-(2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(8-methylnaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",C1CCN2CCCC12COC=1N=C(C2=C(N1)CN(CC2)C2=CC=CC1=CC=CC(=C21)C)N2CC1C(C2)C(NC1=O)=O
81,81,"5-(7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",FC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2C(C1)C(NC2=O)=O)OCC21CCCN1CCC2
82,82,,Did not work
83,83,,Did not work
84,84,,Did not work
85,85,,Did not work
86,86,,Did not work
87,87,,Did not work
88,88,,Did not work
89,89,,Did not work
90,90,,Did not work
91,91,,Did not work
92,92,,Did not work
93,93,,Did not work
94,94,,Did not work
95,95,,Did not work
96,96,,Did not work
97,97,,Did not work
98,98,,Did not work
99,99,,Did not work
100,100,,Did not work
101,101,,Did not work
102,102,,Did not work
103,103,,Did not work
104,104,,Did not work
105,105,,Did not work
106,106,,Did not work
107,107,,Did not work
108,108,,Did not work
109,109,,Did not work
110,110,,Did not work
111,111,,Did not work
112,112,,Did not work
113,113,,Did not work
114,114,,Did not work
115,115,,Did not work
116,116,,Did not work
117,117,,Did not work
118,118,,Did not work
119,119,,Did not work
120,120,,Did not work
121,121,,Did not work
122,122,,Did not work
123,123,,Did not work
124,124,,Did not work
125,125,,Did not work
126,126,,Did not work
127,127,,Did not work
128,128,,Did not work
129,129,,Did not work
130,130,,Did not work
131,131,,Did not work
132,132,,Did not work
133,133,,Did not work
134,134,,Did not work
135,135,,Did not work
136,136,,Did not work
137,137,,Did not work
138,138,,Did not work
139,139,,Did not work
140,140,,Did not work
141,141,,Did not work
142,142,,Did not work
143,143,,Did not work
144,144,,Did not work
145,145,,Did not work
146,146,,Did not work
147,147,,Did not work
148,148,,Did not work
149,149,,Did not work
150,150,,Did not work
151,151,,Did not work
152,152,,Did not work
153,153,,Did not work
154,154,,Did not work
155,155,,Did not work
156,156,,Did not work
157,157,,Did not work
158,158,,Did not work
159,159,,Did not work
160,160,,Did not work
161,161,,Did not work
162,162,,Did not work
163,163,,Did not work
164,164,,Did not work
165,165,,Did not work
166,166,,Did not work
167,167,,Did not work
168,168,,Did not work
169,169,,Did not work
170,170,,Did not work
171,171,,Did not work
172,172,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-(hydroxymethyl)azepan-4-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCC(CC(C1)CO)O)OCC12CCCN2CCC1
173,173,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-(hydroxymethyl)azepan-4-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCC(CC(C1)CO)O)OCC12CCCN2CCC1
174,174,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-(hydroxymethyl)azepan-4-ol",C(C)C=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCC(CC(C1)CO)O)OCC12CCCN2CCC1
175,175,"5-[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-2-(1,2,3,5,6,7-hexahydropyrrolizin-8-ylmethoxy)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-N,N-dimethyl-4,6,7,8-tetrahydropyrazolo[1,5-a][1,4]diazepine-2-carboxamide",Did not work
176,176,"4-(4-(8-oxa-3-azabicyclo[3.2.1]octan-3-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",C12CN(CC(CC1)O2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)CN(CC1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O
177,177,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-azabicyclo[3.2.0]heptan-6-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2CC(C2C1)O)OC[C@]12CCCN2C[C@@H](C1)F)O)F
178,178,"4-(4-(7,8-dihydro-4H-[1,2,3]triazolo[1,5-a][1,4]diazepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1=NC=C2N1CCCN(C2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)CN(CC1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O
179,179,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-azabicyclo[3.3.1]nonan-7-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2CC(CC(C1)C2)O)OC[C@]21CCCN1C[C@@H](C2)F)O)F
180,180,"4-(4-(8,9-dihydro-5H-pyrido[3,2-c]azepin-6(7H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1=CC=CC=2CN(CCCC21)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)CN(CC1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O
181,181,"4-(4-(2-amino-7,8-dihydro-4H-thiazolo[5,4-c]azepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",NC=1SC=2CN(CCCC2N1)C=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O
182,182,"(3aR,4S,6aS)-2-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)octahydrocyclopenta[c]pyrrol-4-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2[C@H](C1)[C@H](CC2)O)OC[C@]21CCCN1C[C@@H](C2)F)O)F
183,183,"(3aR,5R,6aS)-2-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)octahydrocyclopenta[c]pyrrol-5-ol",Did not work
184,184,"(3aR,5S,6aS)-2-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)octahydrocyclopenta[c]pyrrol-5-ol",Did not work
185,185,"(3aR,4R,6aS)-2-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)octahydrocyclopenta[c]pyrrol-4-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2[C@H](C1)[C@@H](CC2)O)OC[C@]21CCCN1C[C@@H](C2)F)O)F
186,186,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-hydroxypiperidine-3-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@H](C[C@H](C1)O)C(=O)N)OC[C@]12CCCN2C[C@@H](C1)F)O)F
187,187,"(3S,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-hydroxypiperidine-3-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@H](C[C@H](C1)O)C(=O)N)OC[C@]12CCCN2C[C@@H](C1)F)O)F
188,188,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N-isopropyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)NC(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
189,189,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N,3-trimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2C)C(=O)N(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
190,190,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-fluoro-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2F)C(=O)N(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
191,191,"(5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)(pyrrolidin-1-yl)methanone",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)N2CCCC2)OC[C@]21CCCN1C[C@@H](C2)F)O)F
192,192,"3-chloro-5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",ClC=1C(=NN2C1CN(CCC2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)CN(CC1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O)C(=O)N(C)C
193,193,"(5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)(morpholino)methanone",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)N2CCOCC2)OC[C@]21CCCN1C[C@@H](C2)F)O)F
194,194,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydropyrazolo[4,3-c]azepine-2(4H)-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2C(CCC1)=NN(C2)C(=O)N(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
195,195,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N-isopropyl-5,6,7,8-tetrahydropyrazolo[4,3-c]azepine-2(4H)-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2C(CCC1)=NN(C2)C(=O)NC(C)C)OC[C@]21CCCN1C[C@@H](C2)F)O)F
196,196,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@]2(C(NC(N2)=O)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)O)F
197,197,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(CC(NC2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)O)F
198,198,"5-[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-N,N-dimethyl-4,6,7,8-tetrahydropyrazolo[1,5-a][1,4]diazepine-2-carboxamide",C(C)C=1C(=CC=C2C=C(C=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)N(C)C)OC[C@H]2N(CCC2)C)O)F
199,199,"(R)-1-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CN(C)CC1(CC1)COC=1N=C(C2=C(N1)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)N2C[C@@](CCC2)(O)C
200,200,"(3aS,6aR)-5-[2-[[1-[(dimethylamino)methyl]cyclopropyl]methoxy]-7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-3a,4,6,6a-tetrahydropyrrolo[3,4-c]pyrrole-1,3-dione",CN(C)CC1(CC1)COC=1N=C(C2=C(N1)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)N2C[C@H]1[C@@H](C2)C(NC1=O)=O
201,201,"7-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",CN(C)CC1(CC1)COC=1N=C(C2=C(N1)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)N2CC1(C(NC(N1)=O)=O)CCC2
202,202,"7-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide",Did not work
203,203,"5-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CN(C)CC1(CC1)COC=1N=C(C2=C(N1)CN(CC2)C2=CC(=CC1=CC=C(C(=C21)CC)F)O)N2CC=1N(CCC2)N=C(C1)C(=O)N(C)C
204,204,"(R)-1-(7-(3-chloro-2-cyclopropyl-5-hydroxyphenyl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",ClC=1C(=C(C=C(C1)O)N1CC=2N=C(N=C(C2CC1)N1C[C@@](CCC1)(O)C)OCC12CCCN2CCC1)C1CC1
205,205,"4-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-6-methyl-1,4-oxazepan-6-ol",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCOCC(C1)(O)C)OC[C@H]1N(CCC1)C
206,206,"(3aS,6aR)-5-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-3a,4,6,6a-tetrahydropyrrolo[3,4-c]pyrrole-1,3-dione",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@H]2[C@@H](C1)C(NC2=O)=O)OC[C@H]2N(CCC2)C
207,207,"8-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1,8-diazaspiro[3.5]nonan-2-one",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCCC2(CC(N2)=O)C1)OC[C@H]1N(CCC1)C
208,208,"9-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-2λ6-thia-1,3,9-triazaspiro[4.5]decane 2,2-dioxide",Did not work
209,209,"(S)-5-(7-(8-chloronaphthalen-1-yl)-2-((1-methylpyrrolidin-2-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC=2N(CCC1)N=C(C2)C(=O)N(C)C)OC[C@H]2N(CCC2)C
210,210,"7-(7-(8-chloronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CC2(CNC(N2)=O)CCC1)OC[C@H]1N(CCC1)C
211,211,"9-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1,3,9-triazaspiro[4.5]decane-2,4-dione",ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1CCCC2(C(NC(N2)=O)=O)C1)OC[C@H]1N(CCC1)C
