index,Example,IUPAC
24,24,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione"
25,25,"4-(4-(6-(1H-pyrazol-1-yl)-1,4-oxazepan-4-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
26,26,"4-(4-(3-(4-amino-1H-pyrazol-5-yl)pyrrolidin-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
27,27,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol"
28,28,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(methylsulfonyl)azepan-1-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol"
29,29,"4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol"
30,30,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-4-ol"
31,31,"4-(4-(([1,2,4]triazolo[4,3-a]pyridin-6-ylmethyl)amino)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
32,32,"3-(difluoromethyl)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol"
33,33,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-(hydroxymethyl)azepan-4-ol"
34,34,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(2-(hydroxymethyl)-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol"
35,35,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
36,36,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-4-(3-(methylsulfonyl)azocan-1-yl)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)naphthalen-2-ol"
37,37,"(4-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-yl)methanol"
38,38,"(1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-3-yl)methanol"
39,39,"N-([1,2,4]triazolo[4,3-a]pyridin-6-ylmethyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine"
40,40,"N-((2-aminopyridin-3-yl)methyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine"
41,41,"6-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
42,42,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(methylsulfonyl)azepan-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
43,43,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol"
44,44,"3-(difluoromethyl)-1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol"
45,45,"N-((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine"
46,46,"5-(1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)pyrrolidin-3-yl)-1H-pyrazol-4-amine"
47,47,"4-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepane"
48,48,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-3-ol"
49,49,"4-(azepan-1-yl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
50,50,"5-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-7-ol"
51,51,"4-(7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
52,52,"5-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)hexahydropyrrolo[3,4-c]pyrrol-1(2H)-one"
53,53,"4-(3-(1H-1,2,4-triazol-5-yl)piperidin-1-yl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
54,54,"4-(azocan-1-yl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
55,55,"6-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6,7,8,9-tetrahydro-5H-pyrido[3,2-c]azepine"
56,56,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(2-methyl-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
57,57,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(piperidin-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
58,58,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(4-(pyrimidin-4-yl)piperazin-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine"
59,59,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione"
60,60,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azaspiro[3.5]nonan-2-ol"
61,61,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide"
