Index,Example,IUPAC
27,27,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-((hexahydro-l.H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
28,28,"(3R)-1-[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-8-fluoro-2-[[(2S)-1-methylpyrrolidin-2- yl]methoxy]pyrido[4,3-d]pyrimidin-4-yl]-3-methyl-piperidin-3-ol"
29,29,"4-(((8-fluoro-7-(8-fiuoronaphthalen- 1 -y l)-2-((hexahydro- 1 H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyrrolidin-2-one"
30,30,"4-(3-(1H-l ,2,4-triazol-3-yl)piperidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
31,31,"4-(2-azabicyclo[4.L0]heptan-2-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
32,32,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(octahydro- 1 H-cyclopenta[b]py ridin- 1 -y l)py rido [4,3 -d] pyrimidine"
33,33,"(3R,5S)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5-methylpiperidin-3-ol"
34,34,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-(imidazo[l,2-a]pyrazin-3-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
35,35,"4-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-4-methylpyrrolidin-2-one"
36,36,"7-(7-(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one"
37,37,"7-(7-(8-ethyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one"
38,38,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R, 7aS))-2-fluorohexahydro-17/-pyrrolizin-7a-yl)methoxy)pyrido [4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one"
39,39,"1-(7-(2-amino-5,6-dimethylbenzo[d]thiazol-4-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
40,40,"1-(7-(2-amino-5,6-dimethylbenzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
41,41,"4-(azocan-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)mcthoxy)pyrido[4,3-d]pyrimidine"
42,42,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]py rimidin-4-yl)- 1 ,4-oxazepane"
43,43,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-y 1)- 1 ,4-thiazepane"
44,44,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)azepan-3-ol"
45,45,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)- 1 ,3,7-triazaspiro[4.5]decan-2-one."
46,46,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-7-azaspiro[4.5]decan-2-one."
47,47,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-l//-pyrrolizin-7a-yl)methnxy)pyrido[4,3- d]pyrimidin-4-yl)-7-azaspiro[4.5]decan-2-ol"
48,48,"8-fluoro-4-(2-fluoro-7-azaspiro[4.5]decan-7-yl)-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
49,49,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)morpholine"
50,50,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-y1)thiomorpholine"
51,51,"(R)- 1-(7r(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
52,52,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (((l-hydroxycyclohexyl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
53,53,"4-(3,3-dimethyIpiperidin- 1 -y l)-8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((hexahydro- 1 H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
