Example,IUPAC,SMILES
75,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(3-hydroxypropoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",OCCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
76,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(6-oxa-2-azaspiro[3.4]octan-2-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(nc4c3F)N5CC6(CCOC6)C5)N7C[C@@H]8CC[C@H](C7)N8
77,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((S)-2-(hydroxymethyl)pyrrolidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",OC[C@@H]1CCCN1c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
78,"1-(4-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)piperidin-1-yl)ethan-1-one",CC(=O)N1CCC(CC1)Oc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
79,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-2H-thiopyran-4-yl)oxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC5CCSCC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
80,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-((4,4-difluorocyclohexyl)oxy)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC5CCC(F)(F)CC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
81,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(3,3,3-trifluoropropoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCC(F)(F)F)nc4c3F)N5C[C@@H]6CC[C@H](C5)N6
82,"4-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)tetrahydro-2H-thiopyran 1-oxide",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC5CC[S](=O)CC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
83,"7a-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-3H-pyrrolizin-3-one bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1c(ncc2c(nc(OCC34CCCN3C(=O)CC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
84,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(2-methyl-1H-imidazol-1-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cc1nccn1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
85,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-isobutyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CC(C)Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
86,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(6-methoxypyridin-3-yl)ethoxy)pyrido[4,3-d]pyrimidine",COc1ccc(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)cn1
87,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(6-methylpyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cc1cccc(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)n1
88,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)-7-(5-methyl-1H-indazol-4-yl)pyrido[4,3-d]pyrimidine",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6c(C)ccc7[nH]ncc67
89,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(pyridin-2-ylmethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCc5ccccn5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
90,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(7-fluoronaphthalen-1-yl)-2-(2-(pyridin-3-yl)ethoxy)pyrido[4,3-d]pyrimidine",Fc1ccc2cccc(c2c1)c3ncc4c(nc(OCCc5cccnc5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
91,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-isopropyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CC(C)n1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
92,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(imidazo[1,2-a]pyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCCc3cn4ccccc4n3)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
93,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-2-((2,2-difluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-8-fluoropyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1c(ncc2c(nc(OCC34CCCN3CC(F)(F)C4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
94,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)-7-(naphthalen-1-yl)pyrido[4,3-d]pyrimidine",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccccc67
95,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-5-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1cncc1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
96,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-phenethoxypyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5ccccc5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
97,"2-(((S)-1-benzylpyrrolidin-2-yl)methoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC[C@@H]3CCCN3Cc4ccccc4)nc12)N5C[C@H]6CC[C@@H](C5)N6)c7cccc8cccc(Cl)c78
98,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloro-7-fluoronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1ccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c2c1Cl
99,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(pyridin-3-ylmethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCc5cccnc5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
100,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)-7-(8-methylnaphthalen-1-yl)pyrido[4,3-d]pyrimidine",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(C)c67
101,"(1S,4S)-5-(3-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)propyl)-2-oxa-5-azabicyclo[2.2.1]heptane",Fc1c(ncc2c(nc(OCCCN3C[C@@H]4C[C@H]3CO4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
102,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(5-fluoropyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5ccc(F)cn5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
103,"(1S,4S)-5-(3-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)propyl)-2-oxa-5-azabicyclo[2.2.1]heptane",Fc1c(ncc2c(nc(OCCCN3C[C@@H]4C[C@H]3CO4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
104,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1ccnc1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
105,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-methoxypyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
106,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyridin-3-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCc5cccnc5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
107,"2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)-N,N-dimethylethan-1-amine",CN(C)CCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
108,"2-(((S)-1-benzylpyrrolidin-2-yl)methoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(naphthalen-1-yl)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC[C@@H]3CCCN3Cc4ccccc4)nc12)N5C[C@H]6CC[C@@H](C5)N6)c7cccc8ccccc78
109,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
110,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-5-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1cncc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
111,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((2-(1-methyl-1H-imidazol-2-yl)ethyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1ccnc1CCNc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
112,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(7-fluoronaphthalen-1-yl)-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccc(F)cc67
113,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(pyridin-3-yl)ethoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCCc3cccnc3)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
114,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1ccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
115,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((2S,4R)-4-fluoro-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1C[C@H](F)C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
116,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3 -yl)-7-(8-methylnaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc3cc(ncc3c(n2)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(C)c67
117,"3-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)propanenitrile bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(CCC#N)c67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
118,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(pyrrolidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol 2,2,2-trifluoroacetate",OC(=O)C(F)(F)F.Oc1cc2ccccc2c(c1)c3ncc4c(nc(nc4c3F)N5CCCC5)N6C[C@@H]7CC[C@H](C6)N7
119,"4-(2-(azetidin-1-yl)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol 2,2,2-trifluoroacetate",OC(=O)C(F)(F)F.Oc1cc2ccccc2c(c1)c3ncc4c(nc(nc4c3F)N5CCC5)N6C[C@H]7CC[C@@H](C6)N7
120,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(3-(dimethylamino)azetidin-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",CN(C)C1CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
121,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((S)-2-(hydroxymethyl)azetidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol 2,2,2-trifluoroacetate",OC[C@@H]1CCN1c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F
122,"1-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)-N,N-dimethylazetidin-3-amine",CN(C)C1CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
123,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc3cc(ncc3c(n2)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
124,"4-(2-(3-amino-3-methylazetidin-1-yl)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CC1(N)CN(C1)c2nc(N3C[C@H]4CC[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
125,"1-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)-3-methylazetidin-3-amine",CC1(N)CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
126,"4-(2-(3-amino-3-ethylazetidin-1-yl)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CCC1(N)CN(C1)c2nc(N3C[C@H]4CC[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
127,"1-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)-N,N,3-trimethylazetidin-3-amine",CN(C)C1(C)CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
128,"1-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)-3-ethylazetidin-3-amine",CCC1(N)CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
129,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-2-(2-(3,3-difluorocyclobutyl)ethoxy)-8-fluoropyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCCC3CC(F)(F)C3)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
130,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(1,6-diazaspiro[3.3]heptan-6-yl)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(nc12)N3CC4(CCN4)C3)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
131,"4-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-2-one",CN1CC(COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)CC1=O
132,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
133,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-methyl-5,6,7,8-tetrahydronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CC1CCCc2cccc(c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7)c12
134,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",FC1CN2CCCC2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)C1
135,"(7a-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-3-yl)methanol",OCC1CCC2(CCCN12)COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78
136,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((S)-tetrahydrofuran-2-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC[C@@H]3CCCO3)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
137,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((R)-tetrahydrofuran-2-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC[C@H]3CCCO3)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
138,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((R)-2-methoxypropoxy)pyrido[4,3-d]pyrimidine",CO[C@H](C)COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
139,"4-(2-(2-(6-aminopyridin-2-yl)ethoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Nc1cccc(CCOc2nc(N3C[C@H]4CC[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)n1
140,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(3-methoxypyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",COc1cccnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
141,"5-(2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)ethyl)pyridin-2-amine",Nc1ccc(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)cn1
142,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((4,5,6,7-tetrahydro-1H-indazol-5-yl)oxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC3CCc4[nH]ncc4C3)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
143,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((4,5,6,7-tetrahydro-1H-indazol-6-yl)oxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OC3CCc4cn[nH]c4C3)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
144,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-methyl-1H-pyrazol-5-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1nccc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
145,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-methyl-1H-pyrazol-3-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1ccc(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)n1
146,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-methyl-1H-pyrazol-4-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1cc(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)cn1
147,"2-(2-(1H-pyrazol-1-yl)ethoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCCn3cccn3)nc12)N4C[C@H]5CC[C@@H](C4)N5)c6cccc7cccc(Cl)c67
