Example,IUPAC,SMILES
18,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(2-(dimethylamino)ethoxy)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CN(C)CCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
19,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(7-fluoronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccc(F)cc67
20,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-7-(naphthalen-1-yl)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccccc67
21,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-7-(5,6,7,8-tetrahydronaphthalen-1-yl)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7CCCCc67
22,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(3-morpholinopropoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCCN5CCOCC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
23,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2,3-dihydro-1H-inden-4-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7CCCc67
24,"4-(2-(3-((1S,4S)-2-oxa-5-azabicyclo[2.2.1]heptan-5-yl)propoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCCN5C[C@@H]6C[C@H]5CO6)nc4c3F)N7C[C@H]8CC[C@@H](C7)N8
25,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-morpholinoethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCN5CCOCC5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
26,"4-(2-(2-((1S,4S)-2-oxa-5-azabicyclo[2.2.1]heptan-5-yl)ethoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCN5C[C@@H]6C[C@H]5CO6)nc4c3F)N7C[C@H]8CC[C@@H](C7)N8
27,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(1-(1-methylpyrrolidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CC(Oc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56)C7CCCN7C
28,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2S,4R)-1-methyl-4-(trifluoromethyl)pyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)C(F)(F)F
29,"4-((R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((S)-1-isopropylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CC(C)N1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
30,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-benzo[d]imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cn1c(CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)nc8ccccc18
31,"3-(8-fluoro-7-(3 -hydroxynaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",CN1CCC[C@H]1COc2nc(N3CC4CC(O)C(C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
32,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(5-fluoropyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCc4ccc(F)cn4)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
33,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5-chloroisoquinolin-4-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cncc8cccc(Cl)c78
34,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((2S,4R)-4-methoxy-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CO[C@@H]1C[C@@H](COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)N(C)C1
35,"2-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)propane-1,3-diol",OCC(CO)COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
36,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-chloronaphthalen-2-ol",Oc1cc2cccc(Cl)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
37,"1-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)azetidin-3-ol bis(2,2,2-trifluoroacetate)",OC1CN(C1)c2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
38,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(4,4,4-trifluorobutoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCCC(F)(F)F)nc4c3F)N5C[C@@H]6CC[C@H](C5)N6
39,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-(2-methoxyethyl)piperidin-4-yl)oxy)-7-(naphthalen-1-yl)pyrido[4,3-d]pyrimidine",COCCN1CCC(CC1)Oc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccccc67
40,"4-(2-(((2S)-1-azabicyclo[2.2.1]heptan-2-yl)methoxy)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC[C@@H]5CC6CCN5C6)nc4c3F)N7C[C@H]8CC[C@@H](C7)N8
41,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-(3-methoxypropyl)piperidin-4-yl)oxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",COCCCN1CCC(CC1)Oc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
42,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2S,4R)-4-methoxy-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CO[C@@H]1C[C@@H](COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67)N(C)C1
43,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-2-(((2S,4R)-4-ethoxy-1-methylpyrrolidin-2-yl)methoxy)-8-fluoropyrido[4,3-d]pyrimidine",CCO[C@@H]1C[C@@H](COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)N(C)C1
